codigo_producto,producto,n_organismos,n_ordenes,n_lineas,gasto_total
42203404,Alambres de guía o trampas o accesorios para toma de imágenes vasculares,5,7,8,5765650
42281914,Contenedores desechables de esterilización,5,7,9,23863856
42272224,Kits de circuito de ventilación,5,7,37,60064100
42142711,Sets de sonda uretral,5,7,16,2957950
42311604,Hemostáticos de colágeno o colágeno microfibrilar,5,7,7,7087316
41121701,Tubos de ensayo multipropósito o generales,5,7,15,1830590
50221101,Granos de Cereales,5,7,13,8572984
42161803,Unidades de hemofiltración venovenosa continua o productos relacionados,5,6,11,23372397
42181904,Unidades de transporte o de señales vitales móviles de multiparámetro o accesorios,5,6,6,7694408
30201706,Baños portátiles,5,6,7,23834580
72102802,"Restauración de edificios, casas, señales o monume",5,6,6,56553118
14111537,Papel de etiquetas,5,6,7,4262990
42192210,Sillas de ruedas,5,6,6,29983460
81112101,Proveedores de servicio de Internet (ISP),5,6,6,126194854
14111525,Papel multiuso,5,6,28,7032803
31201515,Cintas de papel,5,6,7,1283537
47131811,Productos de lavandería,5,6,9,8082960
76121901,Eliminación de residuos médicos,5,6,38,43004930
50192301,Postres preparados,5,6,10,972923
50121537,Pescado congelado,5,6,6,3763740
42291614,Tijeras quirúrgicas,5,6,8,7826640
50221201,Cereales precocidos y listos para comer,5,6,8,824010
50171551,Sal de cocina o de mesa,5,6,8,1851980
11121802,Algodón,5,6,6,1217300
41116011,Reactivos de analizadores microbiológicos,5,6,26,35356725
42142405,Estuches para sets de instrumental médico o sus accesorios,5,6,6,12361240
51142009,Metamizol sódico,5,6,6,3597300
42272006,Introductores,5,6,8,11905000
51191604,Solución de Ringer lactado,5,6,7,6634550
51142235,Clorhidrato de tramadol,5,6,6,1278533
42142704,Sacos o medidores de drenaje urinario,5,5,5,2887042
44111506,Taco calendario,5,5,5,1295315
52131501,Cortinas,5,5,5,939883
40101701,Aires acondicionados,5,5,6,5623716
44121615,Corcheteras,5,5,6,2412898
51121710,Losartan potásico,5,5,5,8035310
51141618,Clorhidrato de fluoxetina,5,5,5,3466070
51181722,Fluticasona,5,5,5,4674145
42141501,Algodoneras o fibra,5,5,5,9613000
12191501,Solventes aromáticos,5,5,5,1488316
42291802,"Abrazaderas, pinzas o fórceps quirúrgicos, o accesorios",5,5,5,7103420
85121808,Laboratorios de rayos X,5,5,5,8568810
51102702,Agua destilada para irrigación,5,5,7,13292160
42142801,Dispositivos o tubos de compresión vascular secuencial,5,5,5,10024000
56101504,Sillas,5,5,6,12760242
44111604,Envolturas de monedas o fajas para billetes,5,5,5,166250
60105704,Barras de pegamento libres de ácido,5,5,5,145556
47131502,Paños de limpieza,5,5,6,759630
47131615,Escobillones,5,5,5,972347
51101503,Cloranfenicol,5,5,5,283615
42151601,Accesorios o piezas de repuesto para instrumentos dentales,5,5,10,555528
50101716,Semillas o frutos secos con cáscara,5,5,7,673923
50202305,Jugo en polvo,5,5,5,784386
42291601,Escalpelos quirúrgicos de láser o cuchillos o mangos de cuchillos,5,5,6,4028900
24112601,Jarros,5,5,19,1392930
42281802,Etiquetas de esterilización,5,5,5,3298546
42132203,Guantes médicos de examen o para usos no quirúrgicos,5,5,14,35109700
42271709,Cánula médico nasal,5,5,7,1226900
42181715,Soluciones o cremas para electrodos,5,5,5,2514000
42261505,Cuchillas y cuchillos para autopsia,5,5,12,1610600
51102713,Povidona yodada,5,5,5,6093564
42251617,Cojines de asiento terapéuticos o accesorios,5,5,6,1613895
41116005,Reactivos de analizadores de coagulación,5,5,24,51824587
42294944,Kits de accesorios para endoscopía,5,5,5,25898300
42132102,Cubre camillas,5,5,5,176531616
51141518,Levetiracetam,5,5,6,6982220
44111905,Pizarras para plumón y accesorios,5,5,21,5157866
76121501,"Recolección, destrucción, transformación o elimina",5,5,10,23417118
40151510,Bombas de agua,5,5,6,8087800
42161503,Juegos de cateterización o administración de diálisis peritoneal,4,28,28,2773940
80111613,Mano de obra temporal,4,17,20,160584958
85121612,Servicios ortopédicos,4,10,33,68468700
42294209,Sistemas de instrumentos de fijación de trauma ortopédico,4,9,9,15909175
42241704,Inmovilizador de rodilla o envoltura artroscópicas,4,9,31,6254728
42281508,Esterilizadores o autoclaves de vapor,4,8,10,10820284
42161501,Sets de transferencia de diálisis peritoneal ambul,4,8,28,9756544
42294941,Sets de drenaje biliar por endoscopia,4,8,13,5157810
78102202,Franqueos,4,7,7,21668074
42142614,Aparatos de inyección hipodérmica o accesorios,4,7,7,18128800
42231604,Botones de acceso gástrico,4,7,10,4885530
42272004,Estiletes de intubación,4,7,7,1409300
42312202,Equipos o bandejas o paquetes o juegos de sutura,4,7,7,5085013
42271611,Monitores de ventilación pulmonar,4,7,16,16460104
42292603,Sondas o directores quirúrgicos,4,7,37,14580900
41104308,Sistemas de cultivo ambiental anaeróbico o suminis,4,6,19,11870234
72101607,Instalación o reparación de paredes,4,6,9,8005670
25172504,Neumáticos para camionetas o automóviles,4,6,7,3475916
51142904,Lidocaína,4,6,6,2314075
42312010,Grapadoras para cierre de piel,4,6,17,45823410
50101545,Verduras deshidratadas,4,6,7,524084
50171550,Especias o extractos,4,6,8,235983
42311708,Cintas adhesivas médicas y quirúrgicas para el uso,4,6,9,26645726
42261609,Brazaletes o etiquetas de identificación de autops,4,6,6,6332300
31161503,Clavo-tornillo,4,5,19,799230
42161629,Filtros transductores de la unidad de hemodiálisis,4,5,5,6134724
42241707,Soportes para caminar,4,5,5,3225636
44102001,Lámina para plastificar,4,5,8,664908
51241120,Lágrimas artificiales,4,5,5,3212340
51211501,Allopurinol,4,5,5,705050
51101567,Ampicilina,4,5,5,1877000
84131603,Seguros contra accidentes,4,5,10,12089017
86131502,Pintura,4,5,8,1063262
40161504,Filtros de aceite,4,5,5,529515
41116134,"Reactivos, soluciones o tinturas de biología molecular",4,5,42,53062832
42231701,Tubos nasogástricos,4,5,10,1346540
